enrollment,privateCollege,police,crime
21836,2,24,446
6485,2,13,1
2123,2,3,1
8240,2,17,121
19793,2,30,470
3256,1,9,25
11990,2,20,67
42615,2,44,1327
5112,1,7,43
17689,2,18,484
29088,2,21,170
35210,2,32,1145
4481,1,5,54
13570,1,6,82
18772,2,12,468
17572,2,11,491
15669,2,10,499
10359,2,12,186
19820,2,16,684
8173,1,2,65
7910,1,17,326
30796,2,74,1712
24011,2,47,1384
16897,2,24,781
17812,2,16,395
11188,2,8,124
23958,2,21,568
23958,2,14,411
12412,2,8,140
2746,1,5,157
21779,2,9,152
31804,2,22,170
42790,2,48,1962
6921,2,48,178
8652,2,14,194
12530,2,15,106
6271,2,8,90
35343,2,26,2052
27901,2,25,580
56350,2,36,1372
11382,2,63,276
24620,2,25,935
11967,2,11,89
7116,2,19,17
7758,2,12,42
11739,2,20,83
5488,2,16,144
9831,2,28,302
33376,2,60,896
9689,1,26,175
4720,1,7,62
18685,2,19,525
18607,2,32,414
24525,2,27,495
8940,2,5,38
16318,2,35,444
54311,2,51,1839
18688,2,24,361
30051,2,50,1202
24947,2,27,294
15164,2,21,145
5803,2,6,50
19770,2,27,351
2167,2,8,85
3850,2,7,47
21250,2,26,691
6209,2,10,118
8165,2,14,103
1799,1,9,44
14620,2,19,239
6555,2,14,202
3712,2,8,58
3290,2,11,64
2446,2,5,43
4100,2,6,53
38989,2,48,969
5363,2,12,129
26266,2,48,728
1859,2,31,246
25135,2,25,456
49961,2,65,982
8980,2,9,72
16798,2,15,252
15759,2,14,169
10654,2,9,233
5861,2,1,55
9034,2,7,113
43030,2,41,1228
26040,2,32,347
11790,2,12,170
5141,2,10,114
5601,2,7,90
3176,2,4,56
10992,2,9,187
5034,1,7,15
7710,1,5,426
20693,2,32,616
